iter	Logloss
0	0.6696090004
1	0.6485306258
2	0.628298674
3	0.6103725007
4	0.5934993196
5	0.5768174695
6	0.5617307075
7	0.5489879162
8	0.535876032
9	0.5240476424
10	0.5120010826
11	0.5014452193
12	0.4911407016
13	0.4825170911
14	0.474309803
15	0.4659634029
16	0.4583257826
17	0.4519255532
18	0.4454357207
19	0.4388965358
20	0.433623652
21	0.4281877188
22	0.4238160782
23	0.4191131512
24	0.4146170323
25	0.410330227
26	0.406857943
27	0.4032937545
28	0.4005166221
29	0.3973616198
30	0.394477606
31	0.3920718756
32	0.3897030824
33	0.3876958
34	0.3853755775
35	0.3832457626
36	0.381137077
37	0.3794973383
38	0.3775680349
39	0.3758561796
40	0.3744082625
41	0.3730937837
42	0.3718192983
43	0.3703958486
44	0.369319873
45	0.3681767508
46	0.3669262496
47	0.3656927977
48	0.364523783
49	0.3634488838
50	0.3625874787
51	0.3617240512
52	0.3608760142
53	0.3600501519
54	0.3593692728
55	0.3586593198
56	0.3580245865
57	0.3574630185
58	0.3568751487
59	0.3562126306
60	0.3556131084
61	0.3551785356
62	0.3547057213
63	0.3542265162
64	0.3537904233
65	0.3534027479
66	0.3530991572
67	0.3526277067
68	0.3523108621
69	0.3518819621
70	0.3515723349
71	0.3512340059
72	0.3509005891
73	0.3505701646
74	0.3502430472
75	0.3500296616
76	0.3496944853
77	0.3494099719
78	0.3491707751
79	0.3489073667
80	0.3486816891
81	0.3484560542
82	0.3482548353
83	0.348017647
84	0.3477865127
85	0.3476425847
86	0.3474518768
87	0.3472474441
88	0.347108018
89	0.3469117669
90	0.3467329045
91	0.3465722236
92	0.3463878166
93	0.3462514625
94	0.3460893365
95	0.3459157579
96	0.3457506989
97	0.3456186126
98	0.3455171036
99	0.3453783918
100	0.345297334
101	0.3451696871
102	0.3450483661
103	0.3449469422
104	0.3448320811
105	0.3447233748
106	0.3445837299
107	0.3444955242
108	0.3443839986
109	0.3442814549
110	0.3441738398
111	0.344067283
112	0.343980283
113	0.343831641
114	0.3437418377
115	0.3436502576
116	0.3435774458
117	0.3434887209
118	0.3433753187
119	0.3432801055
120	0.3431785592
121	0.3431186193
122	0.3430123126
123	0.3429369856
124	0.3428631558
125	0.3427993842
126	0.3427298333
127	0.3426434873
128	0.3425638178
129	0.3425126502
130	0.3424465952
131	0.3423808857
132	0.3423277495
133	0.3422770475
134	0.3422032994
135	0.3421146811
136	0.3420625858
137	0.3420066382
138	0.3419445725
139	0.34186602
140	0.3417979518
141	0.3417244337
142	0.3416666984
143	0.341620699
144	0.3415351073
145	0.3414463585
146	0.3413890703
147	0.3413442206
148	0.3412909657
149	0.3412371578
150	0.3411870719
151	0.3411413873
152	0.341061806
153	0.3410179456
154	0.3409605997
155	0.3409070485
156	0.340854489
157	0.3408048246
158	0.3407588909
159	0.340711618
160	0.3406677905
161	0.34061407
162	0.3405630471
163	0.3405271542
164	0.3404899361
165	0.3404441934
166	0.340397985
167	0.3403523725
168	0.340309835
169	0.3402611209
170	0.3402225045
171	0.3401885239
172	0.3401369482
173	0.3400772285
174	0.3400269926
175	0.3399682038
176	0.3399242184
177	0.3398871428
178	0.3398488302
179	0.3397992769
180	0.3397731698
181	0.3397403331
182	0.3396793671
183	0.3396451832
184	0.3396158491
185	0.3395860416
186	0.3395648257
187	0.3395360683
188	0.3395000144
189	0.3394514088
190	0.3394234295
191	0.33939141
192	0.3393572941
193	0.339308871
194	0.3392731947
195	0.3392412301
196	0.3392121702
197	0.3391702811
198	0.3391393019
199	0.3390985245
200	0.3390579328
201	0.3390320365
202	0.3390049211
203	0.3389715566
204	0.3389355729
205	0.3389015876
206	0.3388739228
207	0.3388518002
208	0.3388234053
209	0.3387773437
210	0.3387441906
211	0.3387084432
212	0.3386719181
213	0.3386429701
214	0.338604954
215	0.3385706042
216	0.3385336638
217	0.338516004
218	0.3385044035
219	0.3384816202
220	0.3384649342
221	0.3384424398
222	0.3384116979
223	0.338389453
224	0.3383567921
225	0.338324775
226	0.3383019068
227	0.3382743848
228	0.3382438098
229	0.3382185739
230	0.3381880605
231	0.3381656229
232	0.3381420766
233	0.3381007098
234	0.3380657485
235	0.3380395078
236	0.3380104918
237	0.33798503
238	0.3379630167
239	0.3379398721
240	0.3379099396
241	0.3378799201
242	0.3378480082
243	0.3378134981
244	0.3377911964
245	0.3377748153
246	0.3377429027
247	0.3377241075
248	0.3377012502
249	0.3376656009
250	0.3376445982
251	0.3376283783
252	0.3376089428
253	0.3375720891
254	0.337555782
255	0.3375295526
256	0.3375101612
257	0.3374963346
258	0.3374669669
259	0.3374389542
260	0.3374121442
261	0.3373903587
262	0.3373647371
263	0.3373468658
264	0.3373273528
265	0.3373086855
266	0.3372937189
267	0.3372715066
268	0.3372517223
269	0.3372272537
270	0.3372151176
271	0.3371985922
272	0.3371790346
273	0.3371558824
274	0.3371353577
275	0.3371180348
276	0.3371026254
277	0.337083093
278	0.3370587208
279	0.3370383758
280	0.3370184854
281	0.3369926404
282	0.3369770214
283	0.3369563887
284	0.336941468
285	0.336924442
286	0.3369084962
287	0.3368953608
288	0.3368682407
289	0.3368379107
290	0.3368152872
291	0.3367966766
292	0.3367870338
293	0.3367669233
294	0.3367432112
295	0.3367282584
296	0.3367146482
297	0.3367039408
298	0.3366893502
299	0.3366643548
300	0.3366489589
301	0.3366205272
302	0.3366019818
303	0.3365893526
304	0.3365740857
305	0.3365616943
306	0.3365360157
307	0.3365213886
308	0.3365066215
309	0.336486522
310	0.3364673733
311	0.3364519429
312	0.3364428647
313	0.3364287604
314	0.3364179951
315	0.3363890688
316	0.336375046
317	0.3363620324
318	0.3363464205
319	0.3363327916
320	0.3363090919
321	0.336286345
322	0.3362685606
323	0.3362597032
324	0.3362422504
325	0.3362248678
326	0.336217187
327	0.3361953979
328	0.3361687207
329	0.3361488534
330	0.3361285652
331	0.3361071311
332	0.3360937077
333	0.3360746081
334	0.3360576188
335	0.3360452678
336	0.3360231132
337	0.3360104484
338	0.3359553283
339	0.3359394302
340	0.3359237021
341	0.3359098493
342	0.3358788808
343	0.3358601616
344	0.3358459559
345	0.335836793
346	0.3358155569
347	0.3357915029
348	0.3357687912
349	0.3357533041
350	0.3357444888
351	0.3357306965
352	0.3357164578
353	0.3357014914
354	0.3356826148
355	0.3356614888
356	0.3356421417
357	0.3356149694
358	0.3355956904
359	0.3355779749
360	0.335557317
361	0.3355434552
362	0.335522981
363	0.33549998
364	0.3354833213
365	0.3354595547
366	0.3354386562
367	0.3354240436
368	0.3354037392
369	0.3353821285
370	0.3353603156
371	0.3353394259
372	0.3353241752
373	0.3352999543
374	0.335268744
375	0.3352375378
376	0.3352222788
377	0.3352036106
378	0.3351804207
379	0.3351650563
380	0.3351429223
381	0.3351201746
382	0.3351011442
383	0.3350835075
384	0.3350634502
385	0.3350541647
386	0.335033264
387	0.335010747
388	0.3349914856
389	0.3349803604
390	0.334964065
391	0.3349449125
392	0.3349233617
393	0.3348996314
394	0.3348756392
395	0.3348576327
396	0.3348384769
397	0.3348171002
398	0.3348043138
399	0.3347971769
400	0.334771945
401	0.3347468168
402	0.3347270823
403	0.3347131978
404	0.3346706666
405	0.3346571112
406	0.3346462508
407	0.3346316444
408	0.334621537
409	0.3346060323
410	0.334584154
411	0.3345541489
412	0.3345360199
413	0.3345228642
414	0.3344780449
415	0.334459213
416	0.3344400229
417	0.334416377
418	0.3343938726
419	0.3343658023
420	0.3343506325
421	0.3343311998
422	0.334317285
423	0.3342968134
424	0.3342819415
425	0.3342648311
426	0.3342467351
427	0.3342372291
428	0.3342048639
429	0.3341745712
430	0.3341690509
431	0.334147373
432	0.3341278007
433	0.3341136883
434	0.3340947927
435	0.3340864854
436	0.3340705003
437	0.3340541183
438	0.3340335334
439	0.3340164316
440	0.3339970877
441	0.3339683572
442	0.3339436199
443	0.3339260178
444	0.3339081613
445	0.3338980325
446	0.3338734567
447	0.3338685085
448	0.3338612732
449	0.3338380863
450	0.3338239763
451	0.3338194509
452	0.3338079734
453	0.3338028714
454	0.3337918326
455	0.3337486897
456	0.3337361006
457	0.3337234809
458	0.3337122337
459	0.3336987779
460	0.3336857894
461	0.3336641568
462	0.3336491106
463	0.3336372166
464	0.3336164476
465	0.3336077842
466	0.3335914998
467	0.3335767084
468	0.3335547011
469	0.3335504834
470	0.3335238315
471	0.3335073185
472	0.3334940368
473	0.3334822815
474	0.3334743842
475	0.3334527041
476	0.3334218021
477	0.3334035025
478	0.3333929204
479	0.3333679057
480	0.3333569585
481	0.333329262
482	0.3333186352
483	0.3333035647
484	0.3332963789
485	0.3332923839
486	0.3332772331
487	0.3332663203
488	0.3332504477
489	0.333240614
490	0.3332027299
491	0.3331934977
492	0.3331812456
493	0.3331671916
494	0.3331497205
495	0.3331359033
496	0.3331262504
497	0.3331052352
498	0.3330873118
499	0.3330812535
500	0.333069379
501	0.3330652107
502	0.3330549838
503	0.333030297
504	0.3330171866
505	0.3330024551
506	0.3329877155
507	0.3329662272
508	0.3329573881
509	0.332946617
510	0.3329107643
511	0.3328986295
512	0.3328727708
513	0.3328648056
514	0.3328555819
515	0.3328378734
516	0.3328199536
517	0.3328021699
518	0.3327844913
519	0.3327808371
520	0.3327627521
521	0.3327447814
522	0.3327337802
523	0.3327219219
524	0.3327069099
525	0.3326889167
526	0.3326692189
527	0.3326549112
528	0.3326347738
529	0.3326198108
530	0.3326101109
531	0.3326062685
532	0.3325869508
533	0.3325695488
534	0.3325529028
535	0.3325436506
536	0.3325312493
537	0.3325132424
538	0.3325056216
539	0.3324859778
540	0.332471143
541	0.332460063
542	0.3324458063
543	0.3324423612
544	0.3324317596
545	0.3324217601
546	0.3324078009
547	0.3323935624
548	0.3323842752
549	0.3323656427
550	0.3323447541
551	0.3323240841
552	0.3323090317
553	0.3323029569
554	0.3322848628
555	0.3322699616
556	0.3322637312
557	0.3322579018
558	0.3322418284
559	0.3322084517
560	0.3321876691
561	0.3321706682
562	0.3321562857
563	0.3321531042
564	0.3321313969
565	0.3321087376
566	0.33209288
567	0.3320795696
568	0.3320628218
569	0.332042309
570	0.332025946
571	0.3320120348
572	0.3319986129
573	0.3319696661
574	0.3319560007
575	0.3319469992
576	0.3319312211
577	0.3319247815
578	0.3319123955
579	0.3318981067
580	0.3318875477
581	0.3318641953
582	0.3318438805
583	0.3318360532
584	0.3318331489
585	0.3318168257
586	0.3317898975
587	0.3317757098
588	0.3317705194
589	0.3317526785
590	0.3317439758
591	0.3317421936
592	0.3317199002
593	0.331701649
594	0.3316879763
595	0.3316780528
596	0.3316656037
597	0.3316499742
598	0.3316391846
599	0.3316361967
600	0.3316245254
601	0.3316068982
602	0.3315935373
603	0.331569363
604	0.3315607892
605	0.3315525377
606	0.3315396697
607	0.3315326077
608	0.3315159571
609	0.3315050624
610	0.3314897775
611	0.331477376
612	0.3314703432
613	0.3314686987
614	0.3314671672
615	0.3314590409
616	0.3314459109
617	0.3314335271
618	0.3314169012
619	0.3314079788
620	0.3314048551
621	0.3313931138
622	0.331381583
623	0.3313684328
624	0.3313480404
625	0.3313444626
626	0.3313304716
627	0.3313135988
628	0.3313044415
629	0.3312932688
630	0.3312729817
631	0.331259657
