iter	Passed	Remaining
0	67	135009
1	70	70908
2	75	49947
3	78	39378
4	83	33243
5	88	29269
6	92	26250
7	96	24073
8	101	22403
9	105	21005
10	109	19804
11	113	18792
12	117	17963
13	121	17299
14	126	16739
15	130	16189
16	134	15706
17	139	15368
18	144	15024
19	148	14717
20	152	14373
21	156	14074
22	160	13835
23	165	13611
24	170	13437
25	174	13243
26	179	13084
27	183	12934
28	188	12823
29	193	12681
30	196	12508
31	201	12392
32	206	12283
33	210	12153
34	214	12062
35	219	11965
36	223	11838
37	227	11742
38	231	11628
39	235	11518
40	239	11443
41	244	11379
42	248	11329
43	253	11269
44	257	11186
45	261	11105
46	265	11047
47	269	10962
48	273	10896
49	278	10870
50	282	10804
51	286	10733
52	290	10664
53	294	10617
54	298	10559
55	302	10506
56	306	10453
57	311	10419
58	315	10377
59	320	10347
60	325	10346
61	329	10303
62	334	10276
63	338	10250
64	343	10214
65	347	10181
66	352	10159
67	356	10122
68	360	10082
69	363	10033
70	367	9991
71	372	9969
72	375	9917
73	380	9902
74	385	9891
75	389	9864
76	393	9821
77	397	9798
78	401	9774
79	406	9746
80	409	9708
81	414	9687
82	418	9669
83	422	9645
84	427	9625
85	431	9596
86	435	9572
87	439	9555
88	444	9538
89	448	9514
90	452	9493
91	456	9470
92	460	9452
93	465	9436
94	469	9419
95	473	9394
96	478	9391
97	482	9370
98	486	9345
99	490	9321
100	494	9301
101	498	9279
102	502	9258
103	506	9238
104	510	9216
105	514	9198
106	518	9177
107	522	9152
108	526	9141
109	530	9117
110	535	9109
111	539	9090
112	543	9069
113	547	9052
114	551	9033
115	555	9016
116	560	9014
117	563	8991
118	568	8983
119	572	8963
120	576	8955
121	580	8935
122	584	8923
123	588	8908
124	593	8901
125	597	8886
126	601	8863
127	605	8857
128	609	8839
129	613	8824
130	617	8809
131	621	8792
132	626	8793
133	630	8778
134	634	8758
135	637	8738
136	641	8722
137	645	8715
138	649	8698
139	653	8687
140	658	8677
141	662	8666
142	667	8666
143	671	8659
144	676	8649
145	679	8633
146	683	8620
147	688	8611
148	691	8593
149	696	8584
150	699	8568
151	702	8544
152	706	8531
153	710	8522
154	715	8513
155	719	8500
156	723	8492
157	728	8487
158	732	8476
159	735	8462
160	739	8452
161	744	8441
162	748	8432
163	753	8433
164	757	8419
165	760	8405
166	764	8393
167	768	8380
168	772	8371
169	776	8359
170	780	8348
171	784	8339
172	788	8325
173	793	8322
174	796	8309
175	801	8307
176	806	8308
177	811	8306
178	815	8299
179	820	8294
180	824	8285
181	828	8276
182	832	8265
183	837	8262
184	841	8252
185	846	8256
186	851	8253
187	855	8250
188	859	8238
189	863	8228
190	868	8224
191	872	8216
192	877	8212
193	881	8202
194	885	8195
195	889	8189
196	893	8179
197	897	8170
198	902	8165
199	906	8154
200	909	8143
201	914	8140
202	918	8134
203	923	8132
204	928	8132
205	932	8121
206	937	8124
207	941	8115
208	946	8108
209	950	8100
210	953	8087
211	958	8082
212	963	8082
213	967	8077
214	972	8071
215	976	8068
216	981	8065
217	985	8053
218	990	8051
219	994	8047
220	998	8040
221	1003	8035
222	1008	8035
223	1012	8030
224	1016	8018
225	1021	8020
226	1027	8022
227	1031	8016
228	1035	8006
229	1039	8002
230	1044	7995
231	1049	7995
232	1054	7995
233	1058	7989
234	1063	7990
235	1067	7982
236	1071	7972
237	1076	7967
238	1080	7957
239	1084	7952
240	1088	7943
241	1093	7942
242	1098	7939
243	1102	7937
244	1107	7929
245	1112	7929
246	1115	7918
247	1120	7918
248	1125	7915
249	1130	7912
250	1134	7906
251	1138	7896
252	1143	7894
253	1148	7892
254	1152	7888
255	1156	7880
256	1160	7869
257	1165	7868
258	1170	7865
259	1174	7861
260	1179	7858
261	1184	7858
262	1188	7849
263	1192	7843
264	1197	7840
265	1202	7835
266	1206	7833
267	1210	7823
268	1215	7819
269	1219	7811
270	1223	7803
271	1227	7799
272	1231	7790
273	1235	7782
274	1239	7778
275	1244	7772
276	1249	7770
277	1253	7761
278	1257	7757
279	1261	7749
280	1265	7738
281	1269	7733
282	1274	7730
283	1278	7722
284	1282	7719
285	1286	7711
286	1291	7708
287	1296	7704
288	1300	7699
289	1305	7696
290	1309	7692
291	1314	7689
292	1319	7687
293	1323	7682
294	1328	7678
295	1333	7678
296	1338	7673
297	1341	7664
298	1347	7665
299	1351	7660
300	1357	7661
301	1361	7656
302	1365	7649
303	1370	7644
304	1374	7638
305	1378	7632
306	1383	7626
307	1387	7624
308	1391	7615
309	1395	7605
310	1400	7607
311	1405	7606
312	1410	7603
313	1415	7601
314	1420	7597
315	1424	7593
316	1429	7589
317	1434	7586
318	1439	7583
319	1443	7578
320	1447	7570
321	1451	7563
322	1455	7557
323	1460	7552
324	1464	7546
325	1468	7539
326	1472	7534
327	1476	7528
328	1481	7525
329	1485	7519
330	1490	7515
331	1494	7510
332	1499	7508
333	1505	7507
334	1509	7501
335	1513	7496
336	1518	7492
337	1522	7488
338	1527	7483
339	1531	7478
340	1536	7476
341	1541	7471
342	1545	7466
343	1550	7462
344	1554	7459
345	1559	7454
346	1563	7449
347	1568	7445
348	1573	7441
349	1577	7438
350	1582	7433
351	1586	7428
352	1591	7425
353	1596	7422
354	1601	7420
355	1605	7413
356	1610	7410
357	1615	7407
358	1619	7403
359	1623	7397
360	1628	7395
361	1633	7390
362	1637	7386
363	1641	7378
364	1646	7376
365	1650	7369
366	1655	7365
367	1659	7361
368	1663	7354
369	1667	7347
370	1671	7338
371	1676	7336
372	1680	7332
373	1685	7327
374	1689	7323
375	1694	7318
376	1698	7314
377	1703	7310
378	1708	7307
379	1713	7304
380	1717	7299
381	1722	7296
382	1727	7293
383	1731	7288
384	1735	7280
385	1739	7275
386	1744	7271
387	1748	7264
388	1753	7261
389	1758	7258
390	1762	7254
391	1767	7250
392	1772	7247
393	1776	7240
394	1781	7236
395	1785	7231
396	1788	7222
397	1793	7218
398	1797	7212
399	1802	7208
400	1806	7201
401	1810	7197
402	1815	7193
403	1819	7188
404	1823	7181
405	1828	7178
406	1832	7173
407	1837	7169
408	1842	7166
409	1847	7163
410	1852	7161
411	1856	7155
412	1861	7151
413	1865	7148
414	1869	7141
415	1874	7136
416	1878	7130
417	1882	7125
418	1887	7121
419	1891	7114
420	1895	7110
421	1900	7106
422	1905	7102
423	1909	7099
424	1914	7095
425	1919	7091
426	1924	7089
427	1929	7085
428	1934	7083
429	1939	7080
430	1943	7075
431	1948	7072
432	1952	7064
433	1956	7060
434	1961	7057
435	1966	7053
436	1970	7049
437	1975	7046
438	1980	7042
439	1984	7037
440	1989	7032
441	1994	7030
442	1998	7024
443	2003	7019
444	2007	7015
445	2012	7011
446	2016	7005
447	2021	7003
448	2031	7015
449	2035	7010
450	2042	7016
451	2054	7037
452	2059	7034
453	2080	7083
454	2087	7089
455	2097	7103
456	2105	7109
457	2111	7107
458	2118	7111
459	2124	7110
460	2131	7116
461	2135	7109
462	2142	7110
463	2147	7107
464	2151	7103
465	2156	7098
466	2161	7094
467	2166	7090
468	2171	7087
469	2175	7083
470	2179	7076
471	2184	7072
472	2189	7068
473	2194	7065
474	2198	7059
475	2202	7053
476	2206	7045
477	2211	7040
478	2215	7036
479	2220	7032
480	2225	7027
481	2230	7023
482	2234	7017
483	2239	7013
484	2243	7008
485	2248	7004
486	2253	6999
487	2257	6994
488	2262	6990
489	2267	6986
490	2271	6981
491	2276	6976
492	2281	6972
493	2285	6967
494	2289	6960
495	2294	6956
496	2299	6952
497	2303	6947
498	2308	6943
499	2313	6940
500	2318	6935
501	2322	6930
502	2327	6927
503	2331	6921
504	2336	6917
505	2341	6912
506	2345	6906
507	2350	6903
508	2355	6899
509	2360	6897
510	2365	6892
511	2370	6889
512	2375	6885
513	2379	6880
514	2384	6876
515	2389	6871
516	2393	6865
517	2398	6863
518	2403	6858
519	2407	6853
520	2412	6848
521	2417	6843
522	2421	6839
523	2426	6834
524	2430	6829
525	2435	6825
526	2439	6819
527	2445	6817
528	2449	6812
529	2454	6807
530	2458	6802
531	2463	6799
532	2468	6794
533	2473	6789
534	2477	6785
535	2482	6780
536	2487	6776
537	2491	6770
538	2496	6766
539	2500	6759
540	2504	6753
541	2508	6748
542	2513	6744
543	2517	6738
544	2522	6734
545	2526	6729
546	2531	6723
547	2535	6718
548	2540	6714
549	2545	6710
550	2550	6706
551	2554	6700
552	2559	6696
553	2563	6691
554	2568	6686
555	2573	6683
556	2577	6677
557	2581	6672
558	2586	6668
559	2592	6665
560	2597	6663
561	2602	6658
562	2606	6653
563	2612	6650
564	2616	6646
565	2621	6642
566	2626	6638
567	2630	6632
568	2636	6631
569	2640	6624
570	2645	6620
571	2649	6615
572	2654	6610
573	2658	6603
574	2662	6599
575	2667	6594
576	2672	6590
577	2677	6586
578	2681	6581
579	2686	6577
580	2691	6572
581	2695	6567
582	2699	6562
583	2704	6557
584	2708	6552
585	2713	6546
586	2717	6540
587	2721	6535
588	2725	6530
589	2730	6524
590	2735	6521
591	2739	6516
592	2744	6512
593	2749	6508
594	2754	6504
595	2759	6499
596	2764	6496
597	2770	6494
598	2775	6490
599	2780	6486
600	2784	6482
601	2789	6477
602	2793	6472
603	2797	6465
604	2802	6461
605	2807	6457
606	2810	6449
607	2814	6444
608	2818	6438
609	2823	6435
610	2829	6432
611	2834	6428
612	2838	6422
613	2843	6418
614	2847	6412
615	2851	6407
616	2857	6405
617	2864	6405
618	2869	6402
619	2874	6398
620	2879	6393
621	2884	6389
622	2889	6386
623	2893	6380
624	2897	6375
625	2902	6370
626	2907	6366
627	2912	6362
628	2916	6357
629	2921	6352
630	2925	6347
631	2930	6343
632	2935	6339
633	2940	6335
634	2945	6330
635	2950	6327
636	2954	6322
637	2958	6315
638	2962	6309
639	2966	6303
640	2970	6297
641	2973	6290
642	2978	6285
643	2981	6278
644	2985	6272
645	2989	6266
646	2993	6260
647	2997	6254
648	3001	6248
649	3005	6242
650	3009	6236
651	3014	6231
652	3018	6226
653	3023	6221
654	3027	6217
655	3033	6214
656	3037	6209
657	3042	6204
658	3046	6200
659	3052	6197
660	3057	6192
661	3061	6188
662	3067	6186
663	3073	6183
